predicted,true,DSH
4.9793115,6.12,38
5.9551544,6.09,37
6.263816,6.71,38
5.995552,4.98,35
6.3396344,5.98,37
7.644387,6.94,38
4.5951276,6.88,38
5.7439194,5.95,38
5.1605353,6.53,37
5.354401,6.04,38
5.1590104,5.83,38
5.145931,6.19,38
5.5067744,5.78,25
6.073319,4.66,26
5.7390313,5.64,25
6.2875657,5.12,27
6.0840707,3.93,27
6.240908,5.98,27
5.5722976,5.48,27
5.7892575,5.74,27
5.284122,4.57,27
6.207995,5.18,27
5.955892,4.27,25
5.8086963,5.28,27
5.7150903,6.32,27
5.9342055,6.44,25
5.8828998,6.44,27
5.499845,4.62,24
6.0071473,5.37,28
5.581734,6.61,28
6.0864267,6.34,27
5.660242,5.7,27
5.9006534,5.68,28
5.6998644,5.25,26
6.219882,5.9,26
6.510323,5.32,27
5.7479205,7.0,26
6.08538,7.32,28
6.1031556,6.2,27
6.1140604,5.82,25
5.685762,5.95,27
5.623058,7.2,26
6.2788196,5.32,26
5.9961305,6.39,26
6.4912953,6.59,27
6.008222,5.43,24
5.800882,5.68,26
5.68501,4.55,26
6.4454684,5.22,27
5.936503,5.34,25
5.927704,6.65,27
5.941013,6.7,27
6.103804,6.92,26
5.6268067,7.05,26
6.1245522,6.24,27
6.8561788,6.82,26
6.1129193,6.59,27
6.0011506,6.48,28
5.1695104,6.12,29
5.729723,5.42,27
5.6944137,7.64,27
6.4768443,6.91,26
6.376966,6.56,27
6.1960135,6.88,26
6.1560645,6.88,26
5.7675343,7.34,26
6.668126,6.67,27
5.804554,6.75,26
6.031217,5.62,26
6.4722815,6.13,25
6.180151,6.74,26
5.3947773,6.92,27
5.743602,6.62,28
5.8086915,6.83,27
5.510994,5.33,26
5.8752503,7.08,27
5.976473,6.9,27
5.642408,6.92,27
5.1501184,6.08,28
6.278174,5.89,25
6.557093,6.84,27
6.4212823,6.12,27
5.719164,6.25,27
6.013207,6.84,27
5.717464,5.79,27
5.6677966,5.98,28
5.282378,4.78,26
5.581397,5.73,27
5.532785,5.56,26
5.774192,6.08,26
5.6328745,5.04,25
5.375007,6.51,26
5.959712,6.35,25
6.746129,6.62,27
5.6077266,5.61,25
5.64438,6.17,26
5.498599,6.12,27
5.6585155,6.09,26
5.9905286,6.71,27
5.666649,4.98,24
5.796618,5.98,26
6.37898,6.94,27
5.766155,6.88,27
5.85636,5.95,27
5.2645755,6.53,26
5.800607,6.04,27
6.1226172,5.83,27
6.5097437,6.19,27
5.707466,5.78,25
6.2913346,4.66,26
6.420294,5.64,25
5.9749546,5.12,27
6.0833383,3.93,27
6.2283673,5.98,27
5.1277633,5.48,27
5.515015,5.74,27
5.673778,4.57,27
6.6081824,5.18,27
5.528903,4.27,25
6.4726286,5.28,27
5.744114,6.32,27
5.717652,6.44,25
6.0214467,6.44,27
5.770874,4.62,24
5.932744,5.37,28
6.072146,6.61,28
5.756166,6.34,27
5.2599683,5.7,27
5.675676,5.68,28
5.575413,5.25,26
5.932683,5.9,26
5.965283,5.32,27
5.9125094,7.0,26
5.9111433,7.32,28
5.9569793,6.2,27
6.0333786,5.82,25
5.7892675,5.95,27
5.6492715,7.2,26
6.0664096,5.32,26
5.774793,6.39,26
6.70056,6.59,27
6.0517297,5.43,24
5.744394,5.68,26
5.5970445,4.55,26
6.394445,5.22,27
6.164639,5.34,25
5.4654136,6.65,27
6.3405433,6.7,27
5.947349,6.92,26
5.1389203,7.05,26
6.314577,6.24,27
6.8440633,6.82,26
6.525163,6.59,27
6.172995,6.48,28
5.2437844,6.12,29
6.1567435,5.42,27
5.4086156,7.64,27
5.7397623,6.91,26
6.1037846,6.56,27
6.692638,6.88,26
6.0206795,6.88,26
5.8032207,7.34,26
5.699519,6.67,27
5.8049264,6.75,26
6.870944,5.62,26
6.3201523,6.13,25
6.0691543,6.74,26
5.337561,6.92,27
5.6600833,6.62,28
5.8858624,6.83,27
5.515711,5.33,26
5.6950035,7.08,27
6.0209613,6.9,27
5.59435,6.92,27
5.469763,6.08,28
6.207475,5.89,25
6.0237613,6.84,27
6.2740426,6.12,27
6.087129,6.25,27
6.0530863,6.84,27
5.5411153,5.79,27
5.460045,5.98,28
6.0064907,4.78,26
5.6662145,5.73,27
5.047816,5.56,26
5.667523,6.08,26
5.588314,5.04,25
5.703136,6.51,26
5.937088,6.35,25
5.8897667,6.62,27
6.298218,5.61,25
5.7014785,6.17,26
6.1896033,6.12,27
5.844193,6.09,26
5.575034,6.71,27
6.021556,4.98,24
6.0163054,5.98,26
6.0343394,6.94,27
5.2676024,6.88,27
6.464947,5.95,27
5.5183883,6.53,26
5.898062,6.04,27
6.290052,5.83,27
6.628406,6.19,27
5.6386757,5.78,25
