predicted,true,DSH
6.3088045,6.7,-31
6.0726337,5.78,36
4.831642,4.88,-35
6.596506,6.59,-39
6.5731344,6.09,-2
6.297374,6.76,-1
7.0996637,5.64,37
5.2753677,5.83,27
6.6359463,6.75,-36
5.5786133,5.31,27
6.828268,6.84,-1
6.528905,6.74,-36
5.8130674,5.89,-25
6.202303,6.48,-38
5.2562456,5.04,36
6.8843555,6.56,-35
5.744628,4.27,-40
6.6190233,6.88,37
5.1882334,5.83,27
6.5487175,7.5,-2
5.933956,5.42,38
6.5299625,7.2,37
6.2369137,6.59,-1
6.5648365,6.76,38
6.3155317,6.34,-31
7.270917,7.34,-25
5.49487,5.86,-39
7.2029,7.32,0
5.649893,4.27,-40
7.299286,7.03,12
5.8154993,5.74,38
5.2077446,5.18,38
5.935731,5.12,-1
5.1240788,5.32,26
5.1881266,6.68,1
5.515481,5.58,-39
6.586113,7.02,-36
6.5350294,5.34,-41
5.6672573,5.58,27
5.378703,5.58,38
5.896798,6.51,-2
4.764432,4.68,-33
6.262026,6.44,-26
6.6255226,6.51,-36
6.2988157,5.79,27
7.084423,7.13,30
6.453064,6.87,-39
5.2630434,6.04,-24
6.307988,6.17,-2
5.8469887,5.33,-40
4.616145,4.55,-40
6.355261,6.61,39
6.3649893,6.44,-37
6.234458,6.04,-39
5.524973,5.96,30
6.7969007,6.9,38
5.7983923,5.33,-36
5.571782,6.24,27
5.7882223,5.78,25
6.4095097,7.13,2
6.188013,6.62,-1
6.533593,6.84,-39
5.39602,5.48,27
5.2606134,4.38,-39
6.550602,7.5,37
5.5504026,5.79,-39
5.957534,5.69,37
5.907798,5.22,38
6.213217,6.17,-40
6.424328,6.25,-39
5.257716,4.66,26
5.4416494,5.49,40
5.8396673,5.79,-24
6.503193,6.39,-40
5.4961767,4.68,25
4.6128817,4.15,27
5.7888365,5.33,26
6.1252975,6.44,-37
5.776705,4.78,-2
6.748889,6.65,-31
6.09424,5.94,-38
6.87086,6.76,-39
5.567071,5.88,37
6.7392235,6.75,-40
5.7375965,5.01,-3
5.612501,5.58,-31
6.4486246,6.44,-39
7.631441,7.03,-65
6.179304,6.13,-33
6.0937157,5.33,-36
5.39629,5.32,37
5.707859,5.82,-33
5.2982607,5.12,-39
4.650017,4.57,27
5.9008875,5.22,38
5.93983,5.64,26
6.467387,6.61,-31
6.0202494,5.53,-36
5.718277,5.58,27
4.9484177,4.55,-40
6.2959156,6.19,-39
4.2160144,4.1,-2
5.293741,5.86,27
6.3866177,6.72,-37
6.1383276,5.98,-39
8.068889,7.98,1
5.290491,5.32,-32
6.6733246,7.37,29
6.8584576,6.92,38
5.047407,5.12,-24
6.390089,6.55,-1
6.9135895,7.09,-2
6.388256,6.75,-25
6.62061,6.87,-35
6.108879,6.08,-23
5.999446,5.58,-35
6.570941,6.92,26
4.9335566,4.98,-42
4.506384,4.62,24
6.275235,6.83,-32
6.3190765,6.84,-1
6.6336718,6.83,-32
5.556041,6.44,-33
7.0942583,7.08,38
6.0848484,6.13,-34
4.6381454,4.57,-35
6.121049,6.44,-28
4.091524,4.1,-25
6.301669,6.44,38
6.5477037,5.74,38
5.7917614,5.61,-3
7.4181232,7.32,-34
6.628375,6.68,-29
6.40238,6.44,-31
5.9471207,5.04,-26
5.9221115,5.64,-40
6.6564074,6.88,-39
4.5318584,4.27,-3
6.0511217,5.98,-38
6.643791,7.68,-29
6.181081,5.7,-1
4.607683,3.93,-1
6.548502,6.92,-2
5.14349,5.89,36
5.4970636,5.34,-3
6.096053,6.94,-1
6.10658,5.33,-36
6.4877586,7.03,12
5.393981,6.44,27
6.290941,6.08,-38
5.409581,5.94,28
5.7325106,5.95,38
6.157215,6.34,-39
5.7453938,5.34,-26
6.397928,6.09,37
5.614011,5.42,-39
6.1991844,5.85,-33
5.8222237,6.23,39
5.910001,4.98,35
5.717805,5.88,-40
6.763567,6.88,-2
4.532632,3.92,-40
6.4155645,6.56,-1
6.0435257,6.44,-39
6.0135336,5.61,-37
6.7289867,6.59,-31
5.6343527,4.38,-1
6.559293,6.36,37
6.277177,6.12,-24
5.318532,5.49,29
6.5303144,6.56,38
6.6792593,6.83,-39
6.6351805,6.08,-23
5.8494043,5.62,-40
6.1087694,6.04,-39
5.5823193,5.53,37
5.1416693,5.15,-39
5.5220375,5.58,27
6.6710443,6.44,-39
5.82137,5.37,28
6.6428814,6.62,-34
5.3477087,5.22,-24
5.8323097,5.98,27
6.540371,6.2,-1
6.18799,5.64,-2
5.7011414,5.89,-2
4.9164114,4.88,38
5.846263,5.53,-40
6.9621115,6.99,-33
5.8084335,5.64,-40
5.5747023,5.55,27
7.0044765,7.64,-39
6.2131395,6.91,-32
6.2620506,5.42,-39
5.862212,6.65,38
6.04702,5.73,27
5.4075727,5.79,-39
4.73499,4.15,-31
5.712056,5.69,-2
6.382621,6.61,27
8.007543,7.98,12
6.2996464,4.27,36
5.78053,5.33,26
5.3803873,5.34,-41
6.6813107,6.92,-32
6.340583,6.12,-39
7.0247107,7.64,-39
5.4299183,5.42,-1
5.9494953,6.19,-35
5.885297,5.95,27
6.204623,6.88,-2
6.058385,5.95,-24
6.212719,6.32,-39
4.0964994,3.93,27
5.5914927,5.12,-31
6.6321945,6.94,-39
5.3587513,4.55,-2
5.545308,5.96,30
5.9260254,5.96,2
5.674526,5.75,-41
5.503665,5.32,-24
5.8134623,5.04,-26
5.8817816,5.47,-35
4.632084,5.04,36
6.429825,6.68,-37
6.7233305,6.24,-35
6.149988,7.2,26
6.411687,6.36,-25
6.8887596,6.74,-40
6.0265255,6.44,-39
5.3594103,5.28,-39
6.31773,6.61,39
5.301759,5.33,-32
6.8928347,6.92,-39
6.096636,6.44,-21
6.3466225,6.4,-25
6.179467,6.59,38
5.6476307,5.43,-27
6.725129,6.99,-33
5.4016714,5.15,-1
5.935523,6.88,27
5.8450203,5.79,-1
6.6062927,6.74,-40
5.85487,5.61,-33
6.06164,5.75,-33
6.323612,6.08,-36
5.4785576,5.12,-31
5.59208,5.98,-40
5.6204853,6.12,29
5.616394,5.74,-39
8.0500965,7.98,-65
5.8258247,5.33,-40
4.686158,4.66,37
6.7756357,6.61,-38
5.366823,5.88,37
6.0666323,5.85,29
6.59575,5.75,25
6.4225655,6.99,-37
5.3084326,5.32,-39
6.8042555,6.7,-39
5.2406235,4.62,35
4.981528,4.66,-32
6.4201355,6.34,-40
6.6711035,6.62,-30
5.9931326,5.85,-22
6.079919,5.58,-39
7.031741,7.03,-50
6.483836,6.88,37
6.706976,6.83,-40
6.623925,6.84,-39
5.960721,5.12,38
5.42056,4.91,-1
5.570983,5.04,-26
5.76869,5.64,-3
5.828932,5.82,2
6.358632,6.35,-41
6.8848066,6.88,26
6.3611126,6.82,-36
5.359334,5.12,-31
6.147334,5.85,-37
5.843498,5.9,-2
5.702423,5.15,38
7.40763,7.37,-29
6.7790956,6.88,-25
5.7484274,5.58,-39
7.029889,7.98,12
6.7552176,5.34,-3
4.71216,5.01,25
5.488059,5.75,-41
6.896638,6.92,-35
6.1147223,5.98,-35
5.645939,5.68,28
7.7164907,7.68,-37
5.7351713,6.88,-40
5.468302,5.68,-23
5.865491,5.47,-24
7.0178947,7.13,-36
5.8428574,5.74,27
6.5520267,6.88,-39
6.634576,6.75,37
6.75198,6.44,-41
3.9117467,4.1,-36
6.656538,6.82,-36
7.0489016,7.09,-40
6.2955694,6.56,27
6.5891857,5.34,-33
5.654813,5.33,-40
6.1177597,5.28,-31
5.8021708,5.86,-39
5.913949,6.92,-24
5.2150955,6.91,26
6.2506123,6.35,-33
5.525487,5.18,27
6.5860825,6.76,-1
5.5222597,5.0,-36
5.5894804,5.58,-24
4.6544333,4.27,-25
6.7823067,6.62,-39
6.160736,5.96,-21
5.2983065,5.56,37
7.237831,6.92,-39
6.9367,6.88,-40
6.240404,5.68,28
5.9521246,6.17,26
6.6479893,6.65,-39
5.6913567,5.62,-36
5.9885206,5.79,-39
5.715539,6.91,37
5.986559,5.94,-30
5.8202515,5.74,-39
6.966035,6.84,-31
6.6842937,6.56,-35
5.56629,5.49,-37
6.307043,6.25,-39
5.8131857,5.25,-25
6.3371696,6.25,-39
5.192581,6.68,29
4.9205933,5.01,-41
6.0746183,5.22,-39
