predicted,true,DSH
4.9462214,4.62,24
5.937114,5.98,26
6.5933166,6.34,38
5.9505363,5.9,-40
5.5959086,5.37,-30
5.8066654,5.37,-34
6.8731,7.64,-35
6.141462,5.9,-36
5.365301,5.56,37
6.9929833,6.83,-24
5.6222296,5.43,24
6.428495,6.44,-39
7.00361,6.83,-31
6.6660037,6.53,-40
6.2926664,5.79,38
6.115058,6.19,27
6.6204023,6.44,-1
4.7358985,4.27,-37
6.406302,6.92,-24
6.2389917,6.2,-1
5.8963,6.92,-31
7.148594,6.84,-39
6.919865,6.61,-34
6.8787436,7.0,-32
5.8899035,5.98,27
6.5392537,6.59,27
5.7549415,5.33,-40
6.9525104,6.7,38
6.8123693,6.7,38
6.560144,7.32,39
6.7136617,6.19,-31
6.489597,6.17,-36
4.657094,3.93,-1
7.1512866,6.67,27
6.207914,5.78,36
4.841241,4.66,26
5.619774,5.98,-1
5.6041713,5.12,-39
6.1883073,5.68,-30
5.6390977,5.68,-2
6.4985323,6.12,-35
5.1391544,6.59,38
5.9595995,5.74,-35
6.9801984,7.05,37
4.957118,4.78,-36
5.873868,5.78,25
4.874588,4.62,-27
5.607152,5.9,-40
6.4089017,6.62,38
6.3866897,5.48,-39
5.69917,5.22,-39
6.0326877,5.89,-26
6.5087,5.98,37
5.5126505,5.32,-35
6.5397263,5.62,-2
6.3195786,6.08,-32
5.945821,5.64,-41
4.3249235,4.27,25
5.8880343,6.91,-2
6.575644,6.59,-39
6.423399,6.35,-41
7.536192,6.59,-39
5.803932,6.24,27
6.166212,5.83,-1
5.893543,5.32,-1
5.9346843,5.61,36
6.3828816,6.44,-41
6.2250285,4.78,-2
6.3325286,6.51,26
5.6479106,5.25,-32
5.6716514,5.33,-40
5.0506,4.62,24
5.9494786,5.83,27
6.059268,5.64,25
7.0607905,7.05,-2
5.5004826,5.37,-23
5.401857,5.28,-39
5.4751973,5.04,-41
6.0916076,6.61,0
6.3589168,7.0,26
6.0470357,5.62,-40
5.9757266,5.98,-39
6.091923,4.98,24
5.3897796,6.12,-37
5.2846155,4.78,26
7.010551,6.08,-23
5.114793,4.66,-40
6.3828855,6.84,-31
6.0055194,5.95,-35
5.5693173,5.28,38
5.1424136,5.04,36
6.639127,6.51,-25
5.5189557,7.0,37
6.3263545,5.95,38
5.903953,5.82,-41
6.152148,6.65,-24
6.0933614,6.75,-32
5.9296927,6.04,-1
5.994204,6.12,-31
6.1210656,6.17,37
6.259931,6.88,-39
5.9277215,5.68,-40
5.844065,6.35,25
6.6364245,6.62,-35
6.486861,6.08,28
6.637449,6.88,-2
6.182768,6.83,-39
4.8022895,4.66,-36
6.483323,6.88,-24
5.281799,4.78,-32
5.4480753,5.42,-35
6.4560814,5.83,-39
6.715823,6.53,-32
5.4714274,4.62,-34
6.122984,5.34,-3
5.789821,5.89,36
6.627749,6.51,-32
5.8161335,5.56,-25
7.0596094,6.91,-40
5.8759,5.9,-2
6.25282,6.39,-32
6.7979364,6.91,-36
6.06825,6.44,-39
6.729337,6.75,-32
6.446487,6.62,-35
5.91939,5.82,25
6.2205033,5.7,-39
6.713349,7.2,26
6.6608768,6.65,38
6.882753,6.92,-39
5.960098,5.68,26
6.482133,7.0,-25
5.980039,5.42,-1
6.182119,6.25,-1
6.304461,6.24,-31
5.2404,5.22,27
6.786902,6.83,27
6.730453,6.71,27
6.6375256,6.59,-1
5.216093,5.33,-32
6.2445164,5.98,-2
5.5380836,5.18,27
5.5031056,5.12,-39
5.631243,5.42,38
6.121882,5.12,38
6.374944,6.83,-31
7.2779393,6.94,38
6.3872557,6.08,28
6.0483537,6.48,-34
5.888685,5.43,-42
6.7680345,6.35,-33
6.119223,5.43,-4
6.1119876,6.13,-26
6.772069,6.74,-25
6.5406466,6.09,-32
6.536896,6.24,-24
5.7236195,5.95,38
5.287866,4.98,-42
6.425961,6.94,38
4.8820333,4.78,-40
6.3685374,6.62,-39
6.2423086,6.53,-2
6.1926374,5.98,-38
5.8457294,6.12,29
5.722977,5.9,-40
6.1445084,5.73,-35
6.678702,6.92,38
5.3480124,5.98,-38
6.910025,6.92,27
6.2834373,6.12,27
6.0451884,5.95,-24
5.8937645,5.78,-41
5.938556,5.28,-35
6.9709535,7.2,-25
5.8583465,5.82,-37
6.5426745,6.91,37
6.814621,6.67,-35
6.1647553,6.62,-38
6.3749795,6.2,-31
6.01642,5.95,-1
5.94794,5.82,36
6.472597,6.35,-26
6.6241274,7.32,-23
6.3946176,6.17,-40
5.5616217,5.32,38
5.9117966,5.98,28
6.1895194,6.04,-35
5.9019437,5.98,-24
6.042918,5.68,39
7.213177,6.74,-36
6.2119284,4.98,-4
6.0625834,6.9,-1
5.9187827,5.82,-26
6.2026806,5.98,-38
6.3578215,6.88,-39
5.9454646,5.62,-40
7.293191,6.84,-35
4.9068923,4.66,-40
6.6376224,6.24,-35
5.9455733,6.09,-40
7.8314204,7.64,-39
6.49933,5.7,-39
