predicted,true,DSH
5.05811,4.62,24
6.32441,5.98,26
5.988554,6.34,38
5.939618,5.9,-40
5.387056,5.37,-30
5.3056283,5.37,-34
6.76789,7.64,-35
5.964523,5.9,-36
5.5205984,5.56,37
7.0222464,6.83,-24
5.4919295,5.43,24
6.180943,6.44,-39
7.3334956,6.83,-31
6.1939626,6.53,-40
6.1410475,5.79,38
6.2811437,6.19,27
6.4754996,6.44,-1
4.5420756,4.27,-37
6.611032,6.92,-24
6.3003993,6.2,-1
6.7440724,6.92,-31
6.813086,6.84,-39
6.2198005,6.61,-34
6.51771,7.0,-32
5.9890065,5.98,27
6.3153577,6.59,27
5.620039,5.33,-40
6.655979,6.7,38
6.968839,6.7,38
7.097115,7.32,39
6.363539,6.19,-31
6.150571,6.17,-36
3.9207983,3.93,-1
6.4996543,6.67,27
5.659374,5.78,36
4.911382,4.66,26
5.327872,5.98,-1
5.0344024,5.12,-39
5.708174,5.68,-30
5.7516117,5.68,-2
6.0988507,6.12,-35
5.6349225,6.59,38
5.86768,5.74,-35
6.9506736,7.05,37
5.044663,4.78,-36
5.9428153,5.78,25
4.645866,4.62,-27
6.2178917,5.9,-40
6.6623416,6.62,38
6.0959477,5.48,-39
5.621508,5.22,-39
6.4409003,5.89,-26
6.28967,5.98,37
5.256143,5.32,-35
5.161326,5.62,-2
5.902812,6.08,-32
5.688232,5.64,-41
4.056982,4.27,25
6.8384104,6.91,-2
6.45974,6.59,-39
6.198109,6.35,-41
6.381169,6.59,-39
6.04864,6.24,27
6.007934,5.83,-1
5.5317326,5.32,-1
5.886976,5.61,36
6.3779078,6.44,-41
5.827519,4.78,-2
6.281873,6.51,26
5.5424685,5.25,-32
5.3574643,5.33,-40
5.414173,4.62,24
5.7971063,5.83,27
5.6665654,5.64,25
6.903075,7.05,-2
5.112285,5.37,-23
5.816734,5.28,-39
5.6398063,5.04,-41
6.510569,6.61,0
6.1319575,7.0,26
5.3701653,5.62,-40
5.978978,5.98,-39
4.9432836,4.98,24
5.8963428,6.12,-37
4.5800147,4.78,26
6.528448,6.08,-23
4.549092,4.66,-40
6.929148,6.84,-31
6.0942063,5.95,-35
5.99544,5.28,38
6.195005,5.04,36
6.327185,6.51,-25
6.7828536,7.0,37
5.6400056,5.95,38
5.555882,5.82,-41
6.7191653,6.65,-24
6.6981807,6.75,-32
6.1344695,6.04,-1
6.178398,6.12,-31
5.679572,6.17,37
6.2374187,6.88,-39
5.6043983,5.68,-40
5.7704825,6.35,25
6.702992,6.62,-35
7.156051,6.08,28
6.9593883,6.88,-2
6.240415,6.83,-39
4.6601744,4.66,-36
6.434931,6.88,-24
4.77952,4.78,-32
5.1997647,5.42,-35
6.127861,5.83,-39
6.401877,6.53,-32
4.661466,4.62,-34
6.7227764,5.34,-3
6.079949,5.89,36
6.2805114,6.51,-32
5.6025763,5.56,-25
6.577726,6.91,-40
5.9334645,5.9,-2
6.1285195,6.39,-32
6.6743717,6.91,-36
6.5265527,6.44,-39
6.5989404,6.75,-32
6.475343,6.62,-35
5.7419963,5.82,25
5.9632707,5.7,-39
6.503309,7.2,26
6.369287,6.65,38
6.85938,6.92,-39
5.7497134,5.68,26
6.7196407,7.0,-25
5.4772496,5.42,-1
6.5803347,6.25,-1
6.188369,6.24,-31
5.3482766,5.22,27
6.2663927,6.83,27
6.286144,6.71,27
6.7332854,6.59,-1
5.518783,5.33,-32
6.2363725,5.98,-2
4.919808,5.18,27
5.021051,5.12,-39
5.707394,5.42,38
5.4039054,5.12,38
6.1910524,6.83,-31
6.037004,6.94,38
6.189256,6.08,28
6.712172,6.48,-34
5.6473765,5.43,-42
5.6309023,6.35,-33
6.080128,5.43,-4
5.952783,6.13,-26
6.578256,6.74,-25
6.0359707,6.09,-32
6.3636174,6.24,-24
6.8672347,5.95,38
4.993755,4.98,-42
6.806083,6.94,38
4.4212885,4.78,-40
6.5793233,6.62,-39
6.8615274,6.53,-2
5.660039,5.98,-38
5.75709,6.12,29
5.952847,5.9,-40
5.9547377,5.73,-35
7.166075,6.92,38
5.68805,5.98,-38
7.0190105,6.92,27
5.218284,6.12,27
5.785206,5.95,-24
5.6644588,5.78,-41
5.934552,5.28,-35
7.0477138,7.2,-25
5.537514,5.82,-37
6.6212425,6.91,37
6.5432477,6.67,-35
6.3904443,6.62,-38
6.4424257,6.2,-31
6.557701,5.95,-1
6.191249,5.82,36
5.9882436,6.35,-26
7.0956364,7.32,-23
5.984719,6.17,-40
5.214335,5.32,38
6.328825,5.98,28
6.2988105,6.04,-35
5.746468,5.98,-24
5.801349,5.68,39
6.671828,6.74,-36
6.0020924,4.98,-4
6.9500375,6.9,-1
5.8235583,5.82,-26
5.9598203,5.98,-38
6.6626954,6.88,-39
5.837145,5.62,-40
6.6420197,6.84,-35
4.9271927,4.66,-40
6.440542,6.24,-35
5.1768394,6.09,-40
7.5705667,7.64,-39
5.576461,5.7,-39
